title,imdbRating,imdbVotes,tomatometer
12 Strong,6.5,"81,866",50%
13 Hours that Saved Britain,6.4,191,N/A
13 Hours: The Secret Soldiers of Benghazi,N/A,N/A,N/A
2012,5.8,"377,991",39%
21 Bridges,6.6,"67,518",54%
30 Minutes or Less,6.1,"101,193",45%
300,7.6,"818,025",61%
300: Rise of an Empire,6.2,"301,870",45%
47 Ronin,6.2,"160,407",16%
6 Days,6.2,"22,241",63%
6 Underground,6.1,"176,287",36%
A Certain Magical Index: The Movie －The Miracle of Endymion,N/A,N/A,N/A
A Chinese Odyssey Part Two: Cinderella,N/A,N/A,N/A
A Choo,5.4,396,N/A
A Fist Full of Lead,N/A,N/A,N/A
A Fistful of Dollars,7.9,"217,411",96%
A Man Apart,6.0,"47,700",11%
Æon Flux,5.4,"128,939",9%
After Earth,4.8,"201,757",12%
Ala Vaikunthapurramuloo,7.3,"18,698",100%
Ali Baba and the Seven Dwarfs,5.6,"20,318",N/A
Alien Warfare,2.6,"3,570",N/A
All Because of You,4.0,223,N/A
All Good,6.5,10,N/A
All Good 2: Back to Square One,N/A,N/A,N/A
Along with the Gods: The Last 49 Days,7.1,"7,461",44%
Along with the Gods: The Two Worlds,7.2,"15,576",67%
Altered Carbon: Resleeved,6.5,"6,240",60%
America: The Motion Picture,5.6,"6,536",35%
American Sniper,7.3,"486,175",72%
Amina,3.9,337,N/A
Amsterdam Vice,N/A,N/A,N/A
Anek,6.6,"21,397",67%
Angu Vaikuntapurathu (Malayalam),N/A,N/A,N/A
Animal World,6.4,"4,559",69%
Annaatthe,4.0,"9,838",N/A
Annaatthe (Hindi),N/A,N/A,N/A
Annaatthe (Kannada),N/A,N/A,N/A
Annaatthe (Malayalam),N/A,N/A,N/A
Annaatthe (Telugu),N/A,N/A,N/A
Aquaman,6.8,"470,402",65%
As the Light Goes Out,6.2,"1,326",N/A
Asfaltenglene,4.2,117,N/A
Asoka,N/A,N/A,N/A
Assassin's Creed,5.6,"199,605",19%
ATHENA,6.8,"5,401",83%
Avengement,6.5,"16,445",84%
Baby Driver,7.6,"532,852",92%
Bad Boys II,6.6,"251,495",23%
